YearBuilt,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF
2002,932,133,1065
1940,399,484,883
1977,532,364,1040
2003,1016,556,1572
2009,1436,570,2006
1922,0,993,993
1974,0,896,896
2005,0,600,600
1960,565,818,1383
1977,975,0,975
1972,600,264,864
1954,0,1367,1367
1961,932,108,1040
1931,224,816,1040
2004,646,468,1114
2004,941,217,1158
1964,40,1424,1728
1972,390,474,864
1937,569,162,731
2004,24,1836,1860
1953,500,594,1094
1920,495,225,720
1992,430,1145,1575
1978,209,463,672
1994,595,378,973
1962,0,1116,1116
1922,735,61,796
1960,1270,208,1478
2003,0,746,746
1954,0,811,811
2003,706,150,856
1964,624,288,1248
2005,0,742,742
2006,1220,440,1660
1946,0,0,0
1950,0,0,0
2003,56,2336,2392
2002,700,216,916
1959,569,381,950
1954,0,0,0
1992,728,367,1095
1998,828,115,943
2001,486,434,920
1995,592,99,691
1892,0,994,994
1952,507,403,910
2007,64,1120,1184
2003,0,1405,1405
1954,0,988,988
1900,440,538,978
1967,0,1584,1584
1973,1880,343,2223
1918,210,0,816
2003,567,197,764
2004,0,798,798
1956,1059,75,1134
1967,528,1152,1680
2005,1201,340,1541
1925,329,697,1026
2007,0,1496,1496
1977,705,1139,1844
2005,0,600,600
1958,507,81,588
1941,116,604,720
1985,625,208,833
2000,0,982,982
1920,0,319,319
1987,495,354,1064
1964,564,563,1127
2007,0,1234,1234
1964,490,935,1425
1963,630,340,970
1923,0,833,833
1998,1201,36,1237
1918,0,686,686
1938,690,126,816
1997,1309,35,1344
1990,1216,0,1216
1971,1219,424,1643
2005,980,110,1090
2005,1249,673,1922
1949,284,717,1001
1971,0,630,630
2004,0,840,840
1999,419,310,729
1996,719,660,1379
1968,570,891,1461
1962,504,319,931
1978,0,0,0
1996,1201,105,1306
1972,982,179,1161
1995,334,322,1200
1959,405,658,1063
1980,543,261,923
1940,388,552,940
1956,296,230,1073
1994,495,495,990
1958,504,525,1029
1970,0,1304,1304
2002,624,193,817
1951,650,178,1008
2005,456,1296,1752
1968,0,948,948
1890,0,718,718
2004,712,761,1473
1992,0,1055,1055
1976,194,638,832
1996,742,130,872
1992,674,76,750
2005,547,0,547
1994,740,425,1165
2003,503,361,864
2006,1334,270,1604
1976,556,248,804
1959,0,1252,1252
2004,16,1375,1391
1962,417,640,1057
2006,1150,316,1466
1973,0,1656,1656
1972,247,485,732
1910,0,264,264
1995,1180,415,1595
1948,0,0,0
2007,945,474,1419
1978,773,115,888
1993,750,300,1050
2003,0,1362,1362
1959,0,1194,1194
1949,0,0,0
1920,0,611,611
1959,179,465,1150
2005,0,1158,1158
1959,1000,188,1188
1998,706,88,794
2005,1024,108,1132
2009,544,288,832
1941,266,522,788
1930,384,384,768
2003,370,315,1657
2001,0,1212,1212
1960,666,409,1075
1972,626,99,725
1941,236,0,616
1957,308,620,928
1914,390,490,880
1920,0,684,684
2006,0,770,770
1970,515,115,630
1979,0,0,0
1971,471,294,765
1922,0,1007,1007
1990,700,0,700
2004,24,1390,1414
1958,456,456,912
2006,0,1709,1709
1915,299,611,910
2005,0,1026,1026
1999,668,336,1004
1926,0,1008,1008
1999,883,341,1224
2007,1022,598,1620
1976,566,289,855
1925,397,706,1103
2008,5644,466,6110
1914,0,684,684
1976,1165,0,1565
1950,185,524,709
1939,341,457,798
2005,16,1346,1362
1920,108,350,458
1916,0,660,660
1947,0,0,0
1963,633,431,1064
2009,822,78,900
2003,0,783,783
1992,387,374,761
2003,0,1374,1374
2006,1320,426,1746
1988,808,72,880
2000,0,1630,1630
2000,0,1349,1349
1949,50,430,480
1996,0,880,880
2005,976,868,1844
1998,0,832,832
1910,0,684,684
1976,0,528,528
2005,1300,434,1734
1976,539,490,1029
1910,0,1020,1020
2003,0,847,847
1880,0,1470,1470
1923,0,968,968
1912,0,755,755
2003,1218,300,1518
1993,0,799,799
2001,0,884,884
1941,0,693,693
2008,0,1734,1734
1924,405,740,1145
1914,203,661,864
1932,297,0,854
1919,0,764,764
1967,702,192,894
2008,0,2046,2046
1949,0,0,0
1994,0,712,712
2009,0,774,774
1946,384,363,747
1920,0,649,649
1958,513,75,588
1984,338,702,1040
1988,394,586,980
1928,0,624,624
1954,1116,248,1364
1994,686,304,990
2007,0,1566,1566
1912,210,570,780
1946,484,495,979
1915,686,0,686
1955,256,906,1162
1922,0,796,796
1922,0,700,700
2006,0,728,728
1966,340,524,864
1962,784,141,925
2003,659,189,848
1959,1018,380,1398
1977,0,0,0
2007,48,1774,1822
1994,0,1097,1097
1934,428,537,965
1970,0,546,546
1984,819,184,1003
2002,810,726,1536
1951,852,100,952
1994,1314,672,1986
1954,486,522,1008
1918,0,912,912
2006,0,1258,1258
1964,787,305,1092
2004,0,1422,1422
1980,285,276,561
1970,509,121,630
2008,936,168,1104
1966,0,1228,1228
2006,1070,286,1356
1900,0,540,540
1940,410,390,800
1945,774,104,1028
2009,0,612,612
1940,0,755,755
2005,0,1082,1082
1910,0,485,485
1948,336,746,1082
2004,662,186,848
1922,0,588,588
1982,672,168,840
1948,353,60,747
2007,0,1800,1800
2006,1154,366,1520
1959,655,0,655
1948,331,318,649
1951,234,180,900
1970,789,171,960
1937,0,780,780
2007,1004,730,1734
2004,2,1515,1517
1918,0,1163,1163
1955,180,0,825
1928,0,784,784
1965,633,586,1219
1880,0,1240,1240
1998,584,0,723
1962,170,252,1092
1915,0,876,876
2007,0,728,728
2007,20,846,866
1976,533,192,725
2003,786,82,868
2005,655,201,856
1892,0,1107,1107
2008,1480,120,1600
1958,460,414,874
1950,0,1092,1092
1969,523,448,971
1961,827,161,988
1976,840,200,1040
1961,1159,90,1249
2002,1059,567,1626
2001,1153,440,1593
1991,0,384,384
