1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
765,600.0,2.0,3.0,471,0.0,294,440,2.0,1971.0,1365,3.0,1920,24.0,376.0,36,5,5,765,1971,1971
990,0.0,3.0,3.0,495,2.0,495,299,2.0,1996.0,990,3.0,8775,65.0,0.0,64,5,5,990,1994,1994
1184,1426.0,4.0,0.0,64,2.0,1120,550,0.0,2007.0,2610,0.0,9000,75.0,0.0,364,5,8,1184,2007,2007
751,611.0,3.0,2.0,0,5.0,611,502,0.0,1920.0,1362,3.0,6155,60.0,0.0,0,8,6,611,1920,1999
1484,0.0,3.0,0.0,712,2.0,761,606,1.0,2004.0,1484,2.0,8400,70.0,109.0,35,5,7,1473,2004,2005
2223,0.0,3.0,1.0,1880,0.0,343,516,0.0,1973.0,2223,3.0,13651,95.0,1115.0,0,6,7,2223,1973,1973
755,755.0,4.0,2.0,0,5.0,755,296,2.0,1940.0,1510,3.0,9084,60.0,0.0,0,5,4,755,1940,1950
832,832.0,4.0,3.0,194,2.0,638,528,1.0,1976.0,1664,3.0,10140,78.0,0.0,28,5,7,832,1976,1976
889,551.0,3.0,3.0,0,5.0,540,352,2.0,1940.0,1440,3.0,5000,63.0,0.0,0,4,5,540,1900,1950
908,1020.0,4.0,3.0,0,5.0,1020,440,2.0,1910.0,1928,1.0,9142,69.0,0.0,60,8,6,1020,1910,1950
612,612.0,3.0,0.0,0,5.0,612,528,1.0,2009.0,1224,2.0,3951,40.0,76.0,234,5,6,612,2009,2009
971,0.0,3.0,1.0,523,5.0,448,300,2.0,1969.0,971,3.0,9920,69.0,0.0,0,6,5,971,1969,1969
1130,1054.0,3.0,0.0,936,2.0,168,836,0.0,2008.0,2184,0.0,11308,96.0,154.0,102,5,9,1104,2008,2008
981,787.0,3.0,3.0,569,0.0,162,240,2.0,1939.0,1768,2.0,7200,60.0,252.0,0,7,5,731,1937,1950
1828,0.0,3.0,0.0,48,5.0,1774,774,2.0,2007.0,1828,2.0,11694,90.0,452.0,108,5,9,1822,2007,2007
1137,817.0,3.0,3.0,341,1.0,457,431,2.0,1939.0,1954,2.0,15660,66.0,312.0,119,9,7,798,1939,2006
1061,862.0,3.0,3.0,674,2.0,76,564,1.0,1992.0,1923,2.0,10186,107.0,0.0,39,5,7,750,1992,1992
1478,0.0,3.0,3.0,1270,1.0,208,498,2.0,1960.0,1478,3.0,17600,66.0,30.0,40,5,6,1478,1960,1960
2020,0.0,4.0,3.0,0,5.0,0,630,2.0,1977.0,2020,3.0,8400,60.0,320.0,0,5,5,0,1977,1977
1146,0.0,3.0,0.0,786,2.0,82,438,2.0,2003.0,1146,2.0,9590,73.0,442.0,22,5,7,868,2003,2003
866,902.0,3.0,0.0,20,2.0,846,578,1.0,2007.0,1768,2.0,10769,68.0,0.0,105,5,8,866,2007,2007
1616,0.0,2.0,3.0,1180,2.0,415,608,1.0,1995.0,1616,2.0,5389,39.0,0.0,152,5,8,1595,1995,1996
1116,0.0,3.0,3.0,0,5.0,1116,440,2.0,1962.0,1116,3.0,10000,87.0,261.0,0,6,6,1116,1962,1962
1746,0.0,3.0,1.0,1320,2.0,426,758,0.0,2006.0,1746,0.0,14892,42.0,160.0,39,5,9,1746,2006,2007
1940,1254.0,4.0,2.0,428,1.0,537,380,2.0,1934.0,3194,3.0,12168,78.0,0.0,0,6,8,965,1934,1998
1166,0.0,2.0,1.0,655,2.0,201,400,0.0,2005.0,1166,2.0,9587,59.0,182.0,0,5,7,856,2005,2005
1572,1096.0,3.0,0.0,1016,2.0,556,726,0.0,2003.0,2668,0.0,13688,110.0,664.0,0,5,9,1572,2003,2004
784,0.0,2.0,3.0,0,5.0,784,360,2.0,1950.0,784,3.0,9000,60.0,0.0,0,3,6,784,1928,1950
929,929.0,5.0,3.0,0,5.0,755,0,2.0,1982.5,2229,3.0,5520,92.0,0.0,198,6,6,755,1912,1950
808,704.0,3.0,3.0,0,5.0,660,180,2.0,1916.0,1656,3.0,10410,60.0,0.0,0,7,5,660,1916,1987
884,1151.0,3.0,3.0,0,5.0,884,434,0.0,2001.0,2035,2.0,9505,66.0,180.0,48,5,7,884,2001,2001
988,517.0,3.0,3.0,399,4.0,484,240,2.0,1940.0,1505,3.0,9144,66.0,0.0,0,5,5,883,1940,1982
520,623.0,2.0,3.0,0,5.0,600,480,1.0,2005.0,1223,2.0,2544,24.0,0.0,166,5,7,600,2005,2005
840,880.0,3.0,3.0,0,5.0,840,440,0.0,2004.0,1720,2.0,8244,62.0,0.0,48,5,7,840,2004,2004
835,0.0,2.0,3.0,108,0.0,350,366,2.0,1920.0,835,3.0,10625,85.0,0.0,0,5,5,458,1920,1950
1423,748.0,3.0,3.0,0,5.0,588,672,0.0,1993.0,2555,3.0,11526,79.0,0.0,0,7,6,588,1922,1994
1620,0.0,2.0,1.0,1022,2.0,598,912,0.0,2008.0,1620,0.0,12898,89.0,70.0,0,5,9,1620,2007,2008
1120,0.0,3.0,3.0,932,0.0,108,544,1.0,1961.0,1120,1.0,6970,85.0,0.0,0,5,4,1040,1961,1961
1003,0.0,3.0,0.0,819,2.0,184,588,2.0,1984.0,1003,3.0,7937,37.0,0.0,0,6,6,1003,1984,1984
725,754.0,4.0,3.0,626,0.0,99,484,0.0,1972.0,1479,2.0,7472,66.0,138.0,32,9,7,725,1972,2004
2392,0.0,3.0,1.0,56,2.0,2336,968,0.0,2003.0,2392,0.0,13472,103.0,922.0,105,5,10,2392,2003,2003
691,807.0,3.0,3.0,592,0.0,99,409,0.0,1995.0,1498,3.0,13031,66.0,0.0,44,5,6,691,1995,1996
979,871.0,3.0,3.0,595,2.0,378,467,0.0,1994.0,1850,2.0,29959,66.0,0.0,98,6,7,973,1994,1994
1040,0.0,2.0,3.0,0,5.0,0,400,2.0,1949.0,1040,3.0,8544,66.0,340.0,0,4,3,0,1949,1950
979,979.0,4.0,3.0,484,4.0,495,492,2.0,1946.0,1958,3.0,7136,82.0,423.0,0,6,6,979,1946,1950
1425,0.0,3.0,3.0,490,5.0,935,576,1.0,1964.0,1425,3.0,10175,100.0,272.0,0,5,6,1425,1964,1964
1040,0.0,2.0,3.0,0,5.0,0,420,2.0,1956.0,1040,3.0,7200,60.0,0.0,0,5,4,0,1949,1950
1682,0.0,3.0,3.0,0,5.0,1304,530,2.0,1970.0,1682,3.0,10400,80.0,288.0,0,6,7,1304,1970,1970
1535,0.0,3.0,3.0,2,2.0,1515,532,1.0,2004.0,1535,2.0,10171,70.0,168.0,0,5,7,1517,2004,2004
848,0.0,1.0,0.0,659,2.0,189,420,0.0,2003.0,848,2.0,4435,36.0,170.0,0,5,6,848,2003,2003
923,0.0,2.0,3.0,543,1.0,261,264,1.0,1980.0,923,3.0,8012,50.0,0.0,0,5,6,923,1980,1980
630,672.0,3.0,3.0,0,5.0,630,280,2.0,1991.0,1302,3.0,1680,21.0,142.0,0,5,5,630,1971,1971
810,0.0,3.0,3.0,387,0.0,374,484,1.0,1992.0,1603,2.0,7153,65.0,0.0,124,5,6,761,1992,1992
1158,0.0,3.0,3.0,941,0.0,217,576,2.0,2006.0,1158,2.0,13072,63.0,0.0,50,5,6,1158,2004,2004
1092,0.0,3.0,3.0,170,3.0,252,288,2.0,1962.0,1092,3.0,11616,66.0,116.0,20,5,5,1092,1962,1962
1680,0.0,3.0,3.0,808,2.0,72,540,0.0,1988.0,1680,2.0,21695,66.0,260.0,44,9,6,880,1988,2007
1734,1088.0,3.0,1.0,0,5.0,1734,1020,1.0,2009.0,2822,0.0,13891,107.0,424.0,170,5,9,1734,2008,2009
693,0.0,2.0,3.0,0,5.0,693,0,2.0,1982.5,693,1.0,4118,153.0,0.0,20,4,4,693,1941,1950
1224,0.0,2.0,3.0,883,2.0,341,402,0.0,1999.0,1224,3.0,4500,66.0,425.0,304,5,6,1224,1999,1999
1383,1015.0,3.0,3.0,719,5.0,660,834,0.0,1996.0,2398,2.0,11787,95.0,594.0,60,5,7,1379,1996,1997
1500,0.0,3.0,0.0,1070,2.0,286,648,0.0,2006.0,1500,2.0,4045,53.0,45.0,20,5,7,1356,2006,2006
1053,795.0,4.0,3.0,0,5.0,833,370,2.0,1922.0,1848,2.0,13053,64.0,0.0,0,7,6,833,1923,2000
2898,0.0,2.0,0.0,1165,0.0,0,665,0.0,1976.0,2898,2.0,15498,66.0,0.0,72,6,8,1565,1976,1976
1363,0.0,2.0,3.0,650,1.0,178,288,2.0,1951.0,1363,3.0,14559,75.0,70.0,42,7,5,1008,1951,2000
1007,793.0,3.0,3.0,0,5.0,982,463,0.0,2000.0,1800,3.0,8123,60.0,16.0,63,5,6,982,2000,2000
892,0.0,3.0,3.0,340,4.0,524,264,1.0,1966.0,892,3.0,9477,66.0,65.0,0,5,5,864,1966,1966
1004,0.0,2.0,1.0,975,2.0,0,504,2.0,1977.0,1004,3.0,10530,78.0,90.0,0,5,6,975,1977,1977
1466,1362.0,4.0,1.0,1150,2.0,316,1052,1.0,2006.0,2828,2.0,9965,77.0,340.0,144,5,8,1466,2006,2007
900,0.0,3.0,2.0,234,5.0,180,576,2.0,2005.0,900,2.0,7200,60.0,0.0,32,7,5,900,1951,2000
848,0.0,3.0,2.0,662,2.0,186,420,1.0,2004.0,848,2.0,4435,37.0,169.0,0,5,6,848,2004,2004
802,670.0,3.0,3.0,0,5.0,384,402,1.0,1991.0,1472,2.0,10784,66.0,76.0,0,5,7,384,1991,1992
768,664.0,2.0,3.0,0,5.0,264,360,2.0,1910.0,1432,3.0,9600,60.0,0.0,0,7,5,264,1910,2002
988,0.0,2.0,3.0,0,5.0,988,520,1.0,1954.0,988,3.0,21750,100.0,0.0,0,5,5,988,1954,1954
943,0.0,3.0,1.0,828,2.0,115,472,0.0,1998.0,1638,3.0,9042,59.0,0.0,38,5,6,943,1998,1998
780,595.0,3.0,3.0,0,5.0,780,544,2.0,1979.0,1375,2.0,9000,50.0,0.0,162,6,6,780,1937,1950
1922,0.0,3.0,1.0,1249,2.0,673,676,0.0,2005.0,1922,2.0,14157,86.0,200.0,51,5,9,1922,2005,2006
1072,0.0,2.0,1.0,547,2.0,0,525,0.0,2005.0,1072,3.0,3675,35.0,82.0,44,5,6,547,2005,2006
1536,0.0,3.0,0.0,810,2.0,726,532,1.0,2002.0,1536,2.0,9135,70.0,113.0,74,5,7,1536,2002,2003
896,896.0,4.0,3.0,0,5.0,896,0,2.0,1982.5,1792,3.0,9000,60.0,0.0,45,5,5,896,1974,1974
855,0.0,3.0,3.0,566,0.0,289,440,2.0,1976.0,1456,3.0,2280,24.0,0.0,0,6,6,855,1976,1976
1600,0.0,3.0,3.0,0,5.0,1566,890,1.0,2007.0,1600,2.0,14230,110.0,640.0,56,5,8,1566,2007,2007
910,0.0,4.0,3.0,507,4.0,403,720,2.0,2000.0,1385,3.0,8520,71.0,0.0,0,4,5,910,1952,1952
833,0.0,3.0,3.0,625,5.0,208,0,2.0,1982.5,833,3.0,8780,66.0,0.0,0,5,5,833,1985,1985
1506,0.0,2.0,1.0,16,2.0,1346,440,2.0,2005.0,1506,2.0,3013,43.0,145.0,20,5,7,1362,2005,2005
1752,0.0,2.0,3.0,456,2.0,1296,576,1.0,2005.0,1752,0.0,7658,61.0,412.0,82,5,9,1752,2005,2005
767,0.0,1.0,0.0,584,2.0,0,367,0.0,1998.0,767,3.0,4058,34.0,182.0,40,5,7,723,1998,1998
1717,0.0,3.0,0.0,0,5.0,1709,908,1.0,2006.0,1717,2.0,11146,87.0,250.0,39,5,8,1709,2006,2006
672,728.0,3.0,3.0,209,0.0,463,440,0.0,1978.0,1400,3.0,7844,74.0,203.0,0,7,6,672,1978,1978
774,456.0,3.0,3.0,384,0.0,363,305,2.0,1946.0,1230,3.0,4712,51.0,0.0,57,7,4,747,1946,1950
1077,0.0,3.0,3.0,0,5.0,1007,210,2.0,1922.0,1077,3.0,9786,60.0,0.0,100,4,3,1007,1922,1950
1567,0.0,1.0,0.0,1154,2.0,366,648,0.0,2006.0,1567,0.0,3982,53.0,0.0,0,5,8,1520,2006,2006
764,862.0,2.0,3.0,567,2.0,197,474,1.0,2003.0,1626,2.0,2268,36.0,106.0,27,5,7,764,2003,2004
979,224.0,3.0,3.0,185,3.0,524,352,2.0,1950.0,1203,2.0,7015,66.0,161.0,0,4,5,709,1950,1950
1541,0.0,3.0,2.0,1201,5.0,340,532,2.0,2005.0,1541,2.0,12182,95.0,226.0,70,5,7,1541,2005,2005
1062,887.0,3.0,3.0,750,2.0,300,574,0.0,1993.0,1949,2.0,9938,80.0,246.0,90,5,7,1050,1993,1994
1547,720.0,2.0,3.0,0,5.0,0,672,2.0,1979.0,2320,3.0,14762,66.0,0.0,144,6,5,0,1948,1950
1844,0.0,3.0,3.0,705,1.0,1139,546,1.0,1977.0,1844,3.0,11751,105.0,480.0,122,6,6,1844,1977,1977
1604,0.0,3.0,3.0,1334,2.0,270,660,1.0,2006.0,1604,2.0,8814,68.0,180.0,110,5,7,1604,2006,2006
1180,0.0,2.0,3.0,0,5.0,700,252,2.0,1922.0,1180,1.0,11600,80.0,0.0,0,5,4,700,1922,1950
728,728.0,3.0,0.0,0,5.0,728,400,0.0,2007.0,1456,2.0,9018,65.0,0.0,24,5,7,728,2007,2007
832,1103.0,3.0,3.0,544,2.0,288,552,0.0,2009.0,1935,3.0,8004,75.0,110.0,150,5,8,832,2009,2009
1381,0.0,3.0,3.0,982,0.0,179,676,2.0,1972.0,1381,2.0,9360,78.0,0.0,0,7,6,1161,1972,2006
932,920.0,3.0,3.0,822,2.0,78,644,1.0,2009.0,1852,2.0,8640,72.0,0.0,108,5,7,900,2009,2009
1687,0.0,3.0,0.0,353,1.0,60,572,2.0,1966.0,1687,3.0,57200,66.0,0.0,0,5,5,747,1948,1950
1082,0.0,2.0,3.0,336,1.0,746,240,2.0,1948.0,1082,3.0,11664,60.0,206.0,130,5,6,1082,1948,1950
1097,0.0,3.0,3.0,0,5.0,1097,672,2.0,1995.0,1097,3.0,10859,112.0,0.0,64,5,5,1097,1994,1995
874,650.0,3.0,3.0,460,1.0,414,315,2.0,1958.0,1524,3.0,11344,78.0,180.0,0,5,5,874,1958,1958
1405,0.0,2.0,3.0,0,5.0,1405,478,1.0,2003.0,1405,2.0,3136,66.0,163.0,36,5,7,1405,2003,2003
798,546.0,3.0,3.0,0,5.0,546,0,2.0,1982.5,1344,3.0,1533,21.0,0.0,0,6,4,546,1970,2008
1298,1216.0,4.0,3.0,1216,3.0,0,693,0.0,1990.0,2514,3.0,11170,66.0,0.0,0,5,7,1216,1990,1991
480,0.0,3.0,0.0,50,1.0,430,308,2.0,1958.0,480,3.0,9000,50.0,0.0,0,3,2,480,1949,1950
1584,0.0,4.0,3.0,0,5.0,1584,792,2.0,1967.0,1584,3.0,8944,65.0,0.0,152,5,5,1584,1967,1967
1557,0.0,2.0,1.0,0,5.0,1374,420,0.0,2003.0,1557,2.0,3196,66.0,18.0,20,5,7,1374,2003,2004
1724,0.0,3.0,0.0,528,0.0,1152,480,1.0,1967.0,1724,3.0,17871,66.0,359.0,0,5,6,1680,1967,1976
1097,0.0,3.0,3.0,338,2.0,702,480,2.0,1986.0,1097,3.0,9672,81.0,0.0,0,5,6,1040,1984,1985
1082,871.0,3.0,2.0,0,5.0,1082,1043,1.0,2005.0,1953,2.0,10574,85.0,0.0,50,5,8,1082,2005,2006
1391,0.0,2.0,2.0,16,5.0,1375,530,2.0,2004.0,1391,2.0,4282,59.0,0.0,158,5,7,1391,2004,2004
1008,0.0,2.0,3.0,486,1.0,522,275,2.0,1954.0,1008,3.0,11425,66.0,0.0,0,6,5,1008,1954,1954
1086,809.0,3.0,3.0,0,5.0,712,409,0.0,1994.0,1895,2.0,10832,66.0,0.0,46,5,7,712,1994,1996
1265,0.0,3.0,1.0,633,0.0,586,502,1.0,1965.0,1265,2.0,9350,85.0,0.0,92,8,5,1219,1965,1999
630,0.0,3.0,0.0,515,2.0,115,286,2.0,1970.0,630,2.0,1526,21.0,0.0,0,8,4,630,1970,2002
1150,0.0,3.0,3.0,179,0.0,465,300,1.0,1959.0,1150,3.0,7945,70.0,0.0,0,6,5,1150,1959,1959
1663,0.0,2.0,1.0,1116,1.0,248,529,2.0,1954.0,1663,2.0,53227,66.0,0.0,137,6,4,1364,1954,1994
1060,764.0,3.0,3.0,0,5.0,764,520,2.0,1940.0,1824,3.0,13515,60.0,0.0,0,6,6,764,1919,1950
1095,0.0,2.0,1.0,513,0.0,75,264,2.0,1958.0,1095,3.0,10382,75.0,105.0,0,5,6,588,1958,1958
838,0.0,2.0,2.0,210,4.0,0,275,0.0,1961.0,838,1.0,10267,55.0,0.0,0,7,6,816,1918,2000
1622,0.0,3.0,0.0,1159,1.0,90,1356,0.0,1975.0,1622,3.0,32463,66.0,149.0,0,4,4,1249,1961,1975
847,1081.0,4.0,3.0,0,5.0,847,434,0.0,2003.0,1928,2.0,8200,65.0,0.0,48,5,7,847,2003,2004
1092,0.0,3.0,3.0,787,4.0,305,504,1.0,1964.0,1092,3.0,8250,75.0,260.0,0,7,6,1092,1964,1964
