BsmtFinSF1,YearBuilt,BsmtUnfSF,GarageArea,GrLivArea,BsmtExposure,LotFrontage,MasVnrArea,OpenPorchSF,KitchenQual,OverallQual,OverallCond,GarageYrBlt,BedroomAbvGr,1stFlrSF,2ndFlrSF
477,1950,725,576,2158,Av,84.0,0.0,29,Gd,6,7,1950.0,4.0,2158,0.0
20,2005,1594,865,1614,Av,86.0,240.0,59,Gd,7,5,2005.0,3.0,1614,0.0
156,1925,516,400,1482,No,70.24318658280923,0.0,0,Fa,6,8,1934.0,2.873045078196872,810,672.0
492,1968,402,450,894,No,109.0,0.0,0,TA,5,5,1968.0,3.0,894,0.0
0,1970,864,280,864,No,71.0,0.0,0,TA,4,5,1972.0,3.0,864,0.0
765,2008,252,812,2007,Av,85.0,160.0,52,Ex,10,5,2008.0,3.0,1026,981.0
1005,1988,387,576,1412,Mn,130.0,0.0,0,Gd,6,5,1988.0,3.0,1412,0.0
0,2004,970,380,1709,No,24.0,50.0,40,Gd,7,5,2004.0,2.873045078196872,970,739.0
0,1962,894,308,894,No,60.0,0.0,0,TA,5,5,1962.0,2.0,894,0.0
600,1962,312,440,1734,No,77.0,0.0,0,Gd,6,7,1962.0,3.0,1085,649.0
16,2005,1330,437,1504,No,43.0,14.0,20,Gd,7,5,2005.0,2.0,1504,0.0
0,1936,896,240,1344,No,70.24318658280923,0.0,114,TA,5,4,1936.0,3.0,896,448.0
456,1920,216,468,1344,No,59.0,0.0,128,TA,5,7,1964.0,3.0,672,672.0
0,1955,1005,672,1005,No,60.0,0.0,0,Fa,4,5,1977.0,2.0,1005,0.0
80,2006,1652,712,1776,Gd,93.0,100.0,0,Gd,8,5,2006.0,3.0,1776,0.0
513,1993,227,425,1775,No,75.0,137.0,72,Gd,7,5,1993.0,3.0,1006,769.0
936,1980,0,672,936,Gd,60.0,180.0,0,TA,5,5,1980.0,2.0,936,0.0
512,1966,148,453,1348,No,69.0,266.0,108,TA,6,5,1966.0,3.0,660,688.0
0,1920,530,288,1111,No,60.0,0.0,0,Fa,5,7,1935.0,3.0,581,530.0
0,1957,0,252,1340,Non,60.0,98.0,0,TA,5,6,1957.0,3.0,1340,0.0
862,1996,255,455,2013,Av,92.0,0.0,130,TA,7,5,1997.0,3.0,1127,886.0
533,2000,281,663,1674,No,70.24318658280923,0.0,96,Gd,7,5,2000.0,3.0,814,860.0
896,1977,434,619,2872,No,70.24318658280923,424.0,282,TA,6,7,1977.0,4.0,1542,1330.0
292,1949,476,281,1716,No,60.0,0.0,0,TA,5,4,1949.0,3.0,1148,568.0
152,1925,628,539,1208,No,52.0,0.0,23,TA,4,5,1962.0,2.0,848,0.0
439,1969,115,440,1026,No,61.0,0.0,48,Gd,6,8,1969.0,3.0,1026,345.57741347905284
0,1950,0,400,1040,Non,60.0,0.0,0,TA,3,4,1987.0,2.0,1040,0.0
150,1972,0,0,630,Av,21.0,0.0,24,TA,4,6,1979.0,1.0,630,0.0
0,1960,0,336,1771,Non,100.0,75.0,0,TA,5,4,1960.0,3.0,1771,0.0
0,1875,780,0,1020,No,54.0,0.0,0,TA,5,8,1979.0,2.0,780,240.0
120,1976,958,440,958,No,70.24318658280923,0.0,205,TA,6,5,1977.0,2.0,958,345.57741347905284
0,1992,384,392,1482,No,70.24318658280923,170.0,25,Gd,7,5,1992.0,3.0,812,670.0
0,1921,576,480,1710,No,50.0,0.0,11,TA,7,6,1990.0,3.0,902,808.0
0,1988,1907,766,1959,No,82.0,70.0,0,TA,7,5,1989.0,5.0,1959,0.0
0,1960,978,286,1422,No,70.24318658280923,0.0,0,TA,5,5,1960.0,3.0,1422,0.0
580,1945,333,288,1558,No,60.0,0.0,0,TA,5,6,1962.0,3.0,1048,345.57741347905284
468,1925,396,0,864,No,67.0,0.0,0,TA,5,6,1979.0,2.0,864,0.0
0,2009,1226,740,1226,No,94.0,0.0,36,Gd,7,5,2009.0,2.873045078196872,1226,0.0
0,1956,672,288,960,No,70.24318658280923,0.0,0,TA,4,3,1956.0,3.0,960,0.0
1280,2007,402,846,2332,Av,96.0,272.0,134,Ex,10,5,2008.0,3.0,1742,590.0
0,2008,1417,554,1428,No,91.0,256.0,60,Ex,7,5,2008.0,3.0,1428,0.0
0,1986,1074,461,1088,No,70.24318658280923,0.0,74,Gd,8,5,1987.0,2.0,1088,0.0
300,1993,899,530,1199,No,55.0,0.0,63,Gd,6,5,1993.0,2.0,1199,0.0
0,1976,1090,479,1370,No,80.0,189.0,0,TA,7,5,1976.0,3.0,1370,0.0
0,1940,778,240,1489,No,60.0,0.0,0,TA,6,7,1940.0,3.0,944,545.0
737,1962,175,352,912,No,70.24318658280923,0.0,0,TA,5,6,1962.0,2.0,912,0.0
0,1955,0,392,827,Non,60.0,0.0,0,TA,5,7,1967.0,2.0,827,0.0
490,1935,30,0,754,Av,60.0,0.0,0,TA,6,8,1979.0,2.0,520,0.0
789,1992,119,506,1915,Mn,80.0,0.0,150,Gd,8,5,1992.0,3.0,927,988.0
821,1997,107,470,1764,No,65.0,0.0,99,Gd,6,5,1997.0,3.0,928,836.0
454,1965,314,486,1986,No,85.0,176.0,42,TA,7,6,1965.0,3.0,1186,800.0
428,1953,0,270,1319,No,79.0,0.0,0,TA,5,6,1953.0,3.0,1319,0.0
356,1973,316,264,1218,No,21.0,285.0,28,TA,6,5,1973.0,3.0,672,546.0
